giorno;Nome Stazione;Preneste;Francia;Magna Grecia;Cinecittà;Colleferro Oberdan;Colleferro Europa;Allumiere;Civitavecchia;Guidonia;Ada;Guido;Cavaliere;Ciampino;Fermi;Bufalotta;Cipro;Tiburtina;Arenula;Malagrotta;Civitavecchia Porto;Civitavecchia Villa Albani;Civitavecchia Via Morandi;Civitavecchia Via Roma;Fiumicino Porto;Fiumicino Villa Guglielmi;Aurelia;S.Agostino;Fiumaretta;Faro;CampoOro;S.Gordiano;Allumiere-AldoMoro;Tolfa;S.Marinella;Tarquinia;MonteRomano;Ceccano;Ferentino;Anagni;Alatri;Fontechiari;Cassino;Frosinone Scalo;Mazzini;LT-Tasso;Aprilia 2;Latina Scalo;Gaeta Porto;LT-De Chirico;Viterbo;Acquapendente;Civita Castellana Petrarca;Rieti 1;Leonessa
;Cod. Stazione;1205875;1205802;1205810;1205804;1205806;1205807;1205801;1205805;1205808;1205820;1205803;1205817;1205886;1205882;1205884;1205883;1205885;1205887;1205888;1205823;1205890;1205824;1205889;1205891;1205892;1205893;1205894;1205895;1205896;1205897;1205898;1205899;1205821;1205822;1205606;1205607;1206003;1206004;1206002;1206001;1206005;1205878;1205874;1206008;1205906;1205902;1205873;1205907;1205905;1205602;1205604;1205601;1205702;1205701
;Cod. EU Stazione;IT1176A;IT0825A;IT0828A;IT0956A;IT0888A;IT0889A;IT0884A;IT0885A;IT0887A;IT0953A;IT0952A;IT0957A;IT1841A;IT1837A;IT1835A;IT1836A;IT1834A;IT1906A;IT2012A;IT2264A;IT2172A;IT2265A;IT2171A;IT2246A;IT2247A;IT2248A;IT2249A;IT2250A;IT2251A;IT2252A;IT2253A;IT2254A;IT2255A;IT2258A;IT2256A;IT2257A;IT0872A;IT0871A;IT0870A;IT0991A;IT0992A;IT1183A;IT1200A;IT2013A;IT0869A;IT0865A;IT1184A;IT2173A;IT0868A;IT0863A;IT2023A;IT0864A;IT0867A;IT0989A
01/01/2020;;-999;50;-999;90;-999;89;-999;-999;52;50;34;59;-999;-999;-999;62;-999;60;71;-999;-999;-999;-999;-999;54;-999;12;-999;20;20;-999;22;-999;-999;-999;-999;-999;58;-999;-999;23;134;-999;58;-999;-999;37;-999;-999;16;22;-999;54;26
02/01/2020;;-999;34;-999;58;-999;-999;-999;-999;40;44;28;38;-999;-999;-999;39;-999;46;48;-999;-999;-999;-999;-999;38;-999;12;15;10;12;-999;22;-999;-999;-999;-999;-999;60;-999;-999;23;111;-999;52;-999;-999;36;-999;-999;18;16;-999;44;17
03/01/2020;;-999;34;-999;55;-999;67;-999;-999;36;41;29;44;-999;-999;-999;41;-999;45;43;-999;-999;-999;-999;-999;33;-999;15;13;12;11;-999;13;-999;-999;-999;-999;-999;60;-999;-999;30;104;-999;57;-999;-999;43;-999;-999;19;23;-999;35;23
04/01/2020;;-999;32;-999;50;-999;58;-999;-999;36;38;26;43;-999;-999;-999;37;-999;43;43;-999;-999;-999;-999;-999;34;-999;12;12;11;9;-999;7;-999;-999;-999;-999;-999;64;-999;-999;39;142;-999;78;-999;-999;47;-999;-999;20;15;-999;40;17
05/01/2020;;-999;21;-999;27;-999;32;-999;-999;17;21;13;20;-999;-999;-999;22;-999;25;21;-999;-999;-999;-999;-999;20;-999;10;9;12;9;-999;16;-999;-999;-999;-999;-999;32;-999;-999;10;83;-999;22;-999;-999;18;-999;-999;12;14;-999;26;9
06/01/2020;;-999;7;-999;10;-999;33;-999;-999;11;7;7;-999;-999;-999;-999;6;-999;8;11;-999;-999;-999;-999;-999;8;-999;5;5;6;6;-999;12;-999;-999;-999;-999;-999;17;-999;-999;8;29;-999;10;-999;-999;17;-999;-999;7;13;-999;24;5
07/01/2020;;-999;24;-999;40;-999;67;-999;-999;29;23;21;-999;-999;-999;-999;25;-999;27;44;-999;-999;-999;-999;-999;23;-999;12;9;10;9;-999;25;-999;-999;-999;-999;-999;47;-999;-999;20;80;-999;37;-999;-999;30;-999;-999;18;19;-999;29;13
08/01/2020;;-999;38;-999;52;-999;77;-999;-999;36;35;23;-999;-999;-999;-999;37;-999;40;37;-999;-999;-999;-999;-999;25;-999;14;12;18;10;-999;24;-999;-999;-999;-999;-999;57;-999;-999;22;67;-999;50;-999;-999;32;-999;-999;20;23;-999;40;9
09/01/2020;;-999;39;-999;54;-999;71;-999;-999;38;43;30;41;-999;-999;-999;39;-999;43;65;-999;-999;-999;-999;-999;38;-999;13;14;14;14;-999;12;-999;-999;-999;-999;-999;55;-999;-999;25;92;-999;50;-999;-999;31;-999;-999;17;17;-999;28;16
10/01/2020;;-999;35;-999;-999;-999;68;-999;-999;44;39;34;39;-999;-999;-999;38;-999;42;41;-999;-999;-999;-999;-999;35;-999;11;10;7;9;-999;26;-999;-999;-999;-999;-999;64;-999;-999;28;107;-999;56;-999;-999;34;-999;-999;26;36;-999;36;19
11/01/2020;;-999;39;-999;-999;-999;82;-999;-999;39;42;27;41;-999;-999;-999;42;-999;47;47;-999;-999;-999;-999;-999;38;-999;14;12;10;8;-999;16;-999;-999;-999;-999;-999;60;-999;-999;23;106;-999;47;-999;-999;31;-999;-999;18;20;-999;55;14
12/01/2020;;-999;29;-999;46;-999;71;-999;-999;36;33;18;39;-999;-999;-999;31;-999;36;36;-999;-999;-999;-999;-999;28;-999;15;14;11;11;-999;16;-999;-999;-999;-999;-999;46;-999;-999;15;65;-999;36;-999;-999;34;-999;-999;17;29;-999;63;18
13/01/2020;;-999;26;-999;49;-999;61;-999;-999;31;32;23;33;-999;-999;-999;33;-999;36;46;-999;-999;-999;-999;-999;37;-999;17;15;16;13;-999;31;-999;-999;-999;-999;-999;41;-999;-999;17;60;-999;35;-999;-999;-999;-999;-999;25;20;-999;37;20
14/01/2020;;-999;36;-999;40;-999;78;-999;-999;24;37;29;34;-999;-999;-999;36;-999;40;38;-999;-999;-999;-999;-999;37;-999;15;14;14;13;-999;25;-999;-999;-999;-999;-999;49;-999;-999;24;99;-999;46;-999;-999;37;-999;-999;21;26;-999;43;17
15/01/2020;;-999;38;-999;48;-999;83;-999;-999;33;35;28;37;-999;-999;-999;36;-999;40;39;-999;-999;-999;-999;-999;40;-999;13;13;16;10;-999;18;-999;-999;-999;-999;-999;60;-999;-999;21;119;-999;-999;-999;-999;32;-999;-999;19;21;-999;30;17
16/01/2020;;-999;40;-999;49;-999;71;-999;-999;39;42;31;40;-999;-999;-999;42;-999;45;54;-999;-999;-999;-999;-999;32;-999;12;15;13;10;-999;15;-999;-999;-999;-999;-999;55;-999;-999;22;109;-999;-999;-999;-999;35;-999;-999;20;20;-999;36;16
17/01/2020;;-999;37;-999;45;-999;64;-999;-999;42;38;27;44;-999;-999;-999;38;-999;38;34;-999;-999;-999;-999;-999;35;-999;15;13;11;11;-999;13;-999;-999;-999;-999;-999;59;-999;-999;27;105;-999;57;-999;-999;34;-999;-999;23;17;-999;32;15
18/01/2020;;-999;27;-999;24;-999;63;-999;-999;26;26;11;45;-999;-999;-999;21;-999;23;18;-999;-999;-999;-999;-999;11;-999;7;5;5;5;-999;5;-999;-999;-999;-999;-999;91;-999;-999;28;93;-999;74;-999;-999;31;-999;-999;11;10;-999;35;11
19/01/2020;;-999;13;-999;23;-999;33;-999;-999;15;17;7;23;-999;-999;-999;16;-999;17;15;-999;-999;-999;-999;-999;13;-999;4;6;5;7;-999;13;-999;-999;-999;-999;-999;44;-999;-999;11;21;-999;39;-999;-999;22;-999;-999;7;10;-999;14;6
20/01/2020;;-999;10;-999;14;-999;25;-999;-999;22;5;7;16;-999;-999;-999;9;-999;11;9;-999;-999;-999;-999;-999;7;-999;3;5;7;3;-999;15;-999;-999;-999;-999;-999;33;-999;-999;9;7;-999;25;-999;-999;22;-999;-999;7;6;-999;8;5
21/01/2020;;-999;20;-999;21;-999;54;-999;-999;29;17;16;26;-999;-999;-999;18;-999;19;20;-999;-999;-999;-999;-999;15;-999;8;13;13;11;-999;15;-999;-999;-999;-999;-999;37;-999;-999;15;26;-999;20;-999;-999;28;-999;-999;13;17;-999;32;11
22/01/2020;;-999;29;-999;35;-999;55;-999;-999;31;27;20;28;-999;-999;-999;30;-999;29;38;-999;-999;-999;-999;-999;29;-999;17;14;13;13;-999;29;-999;-999;-999;-999;-999;49;-999;-999;19;52;-999;41;-999;-999;30;-999;-999;20;25;-999;28;17
23/01/2020;;-999;33;-999;47;-999;66;-999;-999;16;32;34;33;-999;-999;-999;35;-999;40;43;-999;-999;-999;-999;-999;37;-999;16;9;18;16;-999;28;-999;-999;-999;-999;-999;57;-999;-999;21;84;-999;51;-999;-999;33;-999;-999;26;23;-999;32;11
24/01/2020;;-999;39;-999;45;-999;70;-999;-999;37;41;34;36;-999;-999;-999;37;-999;44;42;-999;-999;-999;-999;-999;39;-999;21;22;15;21;-999;22;-999;-999;-999;-999;-999;64;-999;-999;18;96;-999;46;-999;-999;30;-999;-999;22;32;-999;33;16
25/01/2020;;-999;20;-999;24;-999;37;-999;-999;24;20;16;25;-999;-999;-999;22;-999;24;28;-999;-999;-999;-999;-999;21;-999;12;13;6;13;-999;14;-999;-999;-999;-999;-999;66;-999;-999;16;68;-999;43;-999;-999;21;-999;-999;18;15;-999;18;15
26/01/2020;;-999;18;-999;23;-999;32;-999;-999;23;23;16;27;-999;-999;-999;18;-999;22;18;-999;-999;-999;-999;-999;18;-999;11;10;12;10;-999;10;-999;-999;-999;-999;-999;39;-999;-999;12;42;-999;33;-999;-999;19;-999;-999;19;13;-999;30;19
27/01/2020;;-999;19;-999;31;-999;39;-999;-999;23;21;16;27;-999;-999;-999;19;-999;27;26;-999;-999;-999;-999;-999;23;-999;9;10;6;11;-999;4;-999;-999;-999;-999;-999;34;-999;-999;12;46;-999;34;-999;-999;24;-999;-999;14;11;-999;23;11
28/01/2020;;-999;13;-999;10;-999;29;-999;-999;12;7;6;10;-999;-999;-999;7;-999;10;11;-999;-999;-999;-999;-999;7;-999;10;8;3;9;-999;1;-999;-999;-999;-999;-999;46;-999;-999;19;72;-999;37;-999;-999;21;-999;-999;9;8;-999;8;3
29/01/2020;;-999;13;-999;14;-999;21;-999;-999;13;13;8;19;-999;-999;-999;13;-999;15;13;-999;-999;-999;-999;-999;14;-999;7;8;11;7;-999;4;-999;-999;-999;-999;-999;17;-999;-999;9;45;-999;14;-999;-999;14;-999;-999;11;7;-999;13;6
30/01/2020;;-999;19;-999;26;-999;33;-999;-999;16;20;9;23;-999;-999;-999;16;-999;18;20;-999;-999;-999;-999;-999;12;-999;7;6;6;6;-999;7;-999;-999;-999;-999;-999;26;-999;-999;11;34;-999;18;-999;-999;19;-999;-999;11;8;-999;17;8
31/01/2020;;-999;24;-999;26;-999;50;-999;-999;22;23;11;27;-999;-999;-999;23;-999;22;18;-999;-999;-999;-999;-999;13;-999;8;8;8;8;-999;14;-999;-999;-999;-999;-999;60;-999;-999;18;75;-999;70;-999;-999;26;-999;-999;18;6;-999;24;10
01/02/2020;;-999;44;-999;35;-999;75;-999;-999;31;43;22;45;-999;-999;-999;43;-999;39;32;-999;-999;-999;-999;-999;29;-999;10;12;12;12;-999;11;-999;-999;-999;-999;-999;95;-999;-999;27;103;-999;103;-999;-999;32;-999;-999;21;10;-999;27;7
02/02/2020;;-999;27;-999;25;-999;33;-999;-999;15;24;13;19;-999;-999;-999;24;-999;18;18;-999;-999;-999;-999;-999;15;-999;7;7;6;8;-999;9;-999;-999;-999;-999;-999;27;-999;-999;18;54;-999;26;-999;-999;18;-999;-999;12;7;-999;15;7
03/02/2020;;-999;16;-999;22;-999;35;-999;-999;14;17;8;18;-999;-999;-999;14;-999;18;15;-999;-999;-999;-999;-999;11;-999;7;7;4;7;-999;17;-999;-999;-999;-999;-999;37;-999;-999;14;29;-999;29;-999;-999;19;-999;-999;15;8;-999;14;11
04/02/2020;;-999;11;-999;20;-999;25;-999;-999;16;13;10;16;-999;-999;-999;6;-999;11;11;-999;-999;-999;-999;-999;14;-999;10;10;6;10;-999;5;-999;-999;-999;-999;-999;30;-999;-999;11;23;-999;28;-999;-999;11;-999;-999;12;9;-999;11;12
05/02/2020;;-999;4;-999;-999;-999;-999;-999;-999;4;3;-999;5;-999;-999;-999;2;-999;4;5;-999;-999;-999;-999;-999;8;-999;5;5;4;4;-999;5;-999;-999;-999;-999;-999;3;-999;-999;2;5;-999;5;-999;-999;5;-999;-999;7;6;-999;3;4
06/02/2020;;-999;10;-999;-999;-999;20;-999;-999;6;4;-999;10;-999;-999;-999;8;-999;7;6;-999;-999;-999;-999;-999;7;-999;3;5;11;6;-999;10;-999;-999;-999;-999;-999;16;-999;-999;6;11;-999;10;-999;-999;20;-999;-999;7;10;-999;14;5
07/02/2020;;-999;20;-999;24;-999;40;-999;-999;20;14;-999;21;-999;-999;-999;18;-999;15;16;-999;-999;-999;-999;-999;13;-999;4;5;16;4;-999;18;-999;-999;-999;-999;-999;35;-999;-999;15;32;-999;23;-999;-999;-999;-999;-999;11;14;-999;17;14
08/02/2020;;-999;38;-999;36;-999;59;-999;-999;28;29;27;29;-999;-999;-999;34;-999;31;50;-999;-999;-999;-999;-999;36;-999;7;11;16;10;-999;24;-999;-999;-999;-999;-999;49;-999;-999;25;58;-999;40;-999;-999;24;-999;-999;15;16;-999;23;14
09/02/2020;;-999;27;-999;30;-999;55;-999;-999;17;25;20;22;-999;-999;-999;33;-999;26;26;-999;-999;-999;-999;-999;28;-999;10;10;10;10;-999;9;-999;-999;-999;-999;-999;58;-999;-999;21;59;-999;36;-999;-999;17;-999;-999;12;14;-999;23;8
10/02/2020;;-999;11;-999;15;-999;45;-999;-999;10;13;8;16;-999;-999;-999;9;-999;12;13;-999;-999;-999;-999;-999;11;-999;16;-999;4;12;-999;2;-999;-999;-999;-999;-999;62;-999;-999;15;58;-999;42;-999;-999;19;-999;-999;12;9;-999;11;4
11/02/2020;;-999;6;-999;15;-999;31;-999;-999;15;12;10;18;-999;-999;-999;7;-999;15;18;-999;-999;-999;-999;-999;16;-999;18;-999;7;13;-999;1;-999;-999;-999;-999;-999;40;-999;-999;10;39;-999;41;-999;-999;16;-999;-999;12;8;-999;10;5
12/02/2020;;-999;8;-999;26;-999;20;-999;-999;17;15;13;20;-999;-999;-999;13;-999;22;21;-999;-999;-999;-999;-999;19;-999;8;6;5;7;-999;12;-999;-999;-999;-999;-999;17;-999;-999;10;-999;-999;18;-999;-999;19;-999;-999;12;10;-999;10;7
13/02/2020;;-999;14;-999;19;-999;34;-999;-999;15;16;12;18;-999;-999;-999;13;-999;16;19;-999;-999;-999;-999;-999;15;-999;9;6;3;8;-999;7;-999;-999;-999;-999;-999;31;-999;-999;12;30;-999;21;-999;-999;17;-999;-999;10;8;-999;13;6
14/02/2020;;-999;10;-999;9;-999;23;-999;-999;8;7;7;10;-999;-999;-999;8;-999;8;9;-999;-999;-999;-999;-999;8;-999;7;10;10;7;-999;7;-999;-999;-999;-999;-999;27;-999;-999;7;24;-999;19;-999;-999;9;-999;-999;9;9;-999;14;4
15/02/2020;;-999;16;-999;18;-999;32;-999;-999;16;13;10;18;-999;-999;-999;17;-999;18;17;-999;-999;-999;-999;-999;22;-999;6;9;10;5;-999;16;-999;-999;-999;-999;-999;22;-999;-999;9;21;-999;16;-999;-999;11;-999;-999;14;13;-999;18;11
16/02/2020;;-999;25;-999;31;-999;42;-999;-999;25;24;20;23;-999;-999;-999;27;-999;27;27;-999;-999;-999;-999;-999;29;-999;10;12;21;11;-999;17;-999;-999;-999;-999;-999;36;-999;-999;15;37;-999;27;-999;-999;17;-999;-999;13;11;-999;16;9
17/02/2020;;-999;21;-999;34;-999;38;-999;-999;26;19;14;25;-999;-999;-999;24;-999;23;24;-999;-999;-999;-999;-999;27;-999;11;14;13;15;-999;9;-999;-999;-999;-999;-999;40;-999;-999;21;47;-999;39;-999;-999;20;-999;-999;14;13;-999;16;11
18/02/2020;;-999;18;-999;27;-999;28;-999;-999;15;19;15;18;-999;-999;-999;18;-999;21;24;-999;-999;-999;-999;-999;23;-999;8;9;8;9;-999;12;-999;-999;-999;-999;-999;32;-999;-999;19;44;-999;26;-999;-999;18;-999;-999;11;14;-999;17;12
19/02/2020;;-999;15;-999;21;-999;18;-999;-999;18;18;12;21;-999;-999;-999;19;-999;-999;20;-999;-999;-999;-999;-999;17;-999;8;10;8;9;-999;6;-999;-999;-999;-999;-999;29;-999;-999;16;36;-999;27;-999;-999;15;-999;-999;13;13;-999;17;10
20/02/2020;;-999;12;-999;18;-999;19;-999;-999;15;10;12;17;-999;-999;-999;13;-999;13;13;-999;-999;-999;-999;-999;13;-999;6;8;9;7;-999;9;-999;-999;-999;-999;-999;22;-999;-999;9;16;-999;14;-999;-999;17;-999;-999;9;10;-999;10;9
21/02/2020;;-999;15;-999;26;-999;28;-999;-999;17;14;15;18;-999;-999;-999;16;-999;18;16;-999;-999;-999;-999;-999;17;-999;8;9;14;8;-999;18;-999;-999;-999;-999;-999;24;-999;-999;13;37;-999;21;-999;-999;18;-999;-999;12;12;-999;14;7
22/02/2020;;-999;24;-999;23;-999;28;-999;-999;21;20;19;22;-999;-999;-999;23;-999;21;21;-999;-999;-999;-999;-999;17;-999;11;12;15;11;-999;10;-999;-999;-999;-999;-999;27;-999;-999;17;41;-999;23;-999;-999;17;-999;-999;17;17;-999;28;12
23/02/2020;;-999;25;-999;26;-999;29;-999;-999;18;23;21;25;-999;-999;-999;25;-999;21;29;-999;-999;-999;-999;-999;21;-999;11;11;12;11;-999;16;-999;-999;-999;-999;-999;28;-999;-999;17;43;-999;26;-999;-999;16;-999;-999;15;19;-999;19;11
